57,7,70,0,0
57,7,71,77,84
57,7,71,74,79
56,7,71,78,78
56,7,70,80,79
55,7,70,77,80
55,7,70,80,79
55,8,70,80,81
56,8,70,82,80
56,8,71,77,78
56,9,71,81,76
56,10,71,80,81
56,11,71,80,80
55,11,71,76,79
56,12,72,82,80
57,13,72,80,80
57,14,72,82,79
57,16,73,78,79
57,17,72,79,80
56,19,71,80,79
56,22,71,78,78
56,25,71,77,80
56,27,70,81,79
57,28,71,71,73
57,31,70,78,82
57,33,71,81,79
57,35,71,82,83
56,39,70,80,79
56,43,71,80,81
57,46,71,86,81
58,48,72,77,79
58,50,72,82,80
57,53,72,76,79
57,54,71,81,79
56,55,69,78,79
56,56,68,80,78
56,57,68,77,79
57,58,67,77,78
57,59,66,77,80
57,60,65,78,78
57,61,64,78,80
57,62,60,82,79
57,61,60,81,80
57,59,58,81,79
57,62,56,76,80
58,62,54,81,82
57,60,50,81,80
57,61,46,80,80
57,62,40,81,85
57,62,35,81,82
57,60,60,93,-84
56,7,71,101,-103
56,7,69,101,-87
56,20,70,74,76
53,47,72,86,71
47,57,70,81,84
30,60,71,80,82
16,53,70,-94,90
11,7,70,-99,103
6,7,70,-11,79
6,20,71,-89,100
7,45,19,-104,107
22,39,9,-106,110
50,45,7,-101,101
52,48,7,90,-91
33,44,7,105,-113
10,46,7,105,-102
6,43,64,92,-89
6,37,69,-93,98
6,42,22,-85,94
16,33,11,-109,111
45,39,7,-100,98
47,40,7,98,-98
24,33,8,99,-103
6,36,7,104,-101
6,30,70,92,-93
6,22,70,-89,97
6,28,36,-84,96
9,19,7,-110,111
35,24,8,-99,96
57,47,7,-97,97
56,50,7,94,-91
48,34,7,100,-108
17,24,10,103,-103
6,26,10,99,-100
6,16,72,90,-91
6,13,70,-88,97
6,20,55,-85,91
7,14,5,-112,110
28,17,8,-102,97
56,36,7,-99,96
56,41,8,94,-95
44,26,7,98,-107
12,16,9,103,-104
6,18,21,100,-101
6,10,72,88,-88
6,8,70,-95,94
6,15,66,-82,79
6,11,3,-113,111
21,13,8,-101,97
53,29,8,-100,99
54,33,7,93,-99
34,17,8,100,-111
7,12,4,103,-99
6,13,56,100,-99
6,7,72,91,-92
6,6,70,-92,95
6,9,72,-75,75
6,8,9,-113,110
13,9,9,-99,98
49,20,8,-101,101
52,27,8,103,-96
30,17,8,97,-107
6,12,3,103,-102
6,13,63,99,-100
6,12,68,-92,99
6,10,13,-102,103
14,10,8,-101,102
46,19,8,-99,100
50,24,8,102,-96
24,13,9,98,-106
6,10,8,99,-101
6,9,17,-100,104
11,8,6,-102,108
47,18,8,-102,103
51,21,8,95,-97
26,12,9,98,-101
6,8,4,102,-102
6,9,67,99,-98
6,8,69,-85,107
6,6,33,-83,90
7,6,4,-98,99
39,10,10,-97,101
57,39,10,-104,101
56,46,9,92,-93
49,17,10,104,-106
13,7,7,97,-99
6,6,23,99,-97
6,6,71,102,-99
6,6,70,-93,99
6,6,65,-90,93
6,6,6,-98,100
20,6,11,-101,98
55,22,11,-103,97
55,27,11,88,-91
34,8,11,102,-103
6,6,18,81,26
6,6,45,76,2
6,6,57,20,87
6,6,69,-92,96
6,6,70,-97,103
16,6,71,-103,105
27,6,71,5,79
30,6,72,6,80
33,6,71,19,82
36,6,72,2,81
38,6,71,2,84
41,7,72,24,82
43,7,72,2,80
31,10,71,74,76
25,17,70,3,79
52,7,70,-77,98
56,6,72,-99,101
56,6,72,84,81
56,7,73,68,76
56,7,71,77,83
56,7,72,78,78
55,8,71,77,79
51,18,71,81,82
38,42,70,82,81
18,59,68,81,81
34,50,69,-96,91
56,7,69,-102,102
56,6,70,88,82
55,7,68,70,80
56,6,69,78,79
55,7,69,83,82
56,7,70,79,78
57,8,71,76,76
57,11,70,82,80
56,21,70,84,82
55,34,69,83,87
53,45,70,79,79
47,55,71,80,79
40,59,69,83,81
48,60,69,78,81
56,61,69,85,81
56,59,70,80,82
56,60,70,80,81
56,61,71,80,81
